,0,1,2,3,4,5,6,7
177,-3160.996,401.168,-3191.552,377.187,450.255,-1914.711,-1752.356,-7273.56
178,-3194.445,-1653.023,-3215.966,-1330.68,-1841.249,-1793.641,-1981.101,-7316.207
179,-3239.817,-5742.666,-3346.675,-5272.032,-6043.079,-3419.094,-3858.922,-7312.222
180,-3218.547,-6071.818,-3397.54,-6078.136,-5848.469,-4701.697,-4778.985,-7249.178
181,-3161.618,-1585.214,-3272.929,-1995.889,-1062.3,-3418.291,-3070.434,-7230.557
182,-3160.342,401.406,-3190.599,375.687,451.79,-1917.772,-1754.157,-7273.046
183,-3193.806,-1642.171,-3214.752,-1320.778,-1829.012,-1791.395,-1977.771,-7315.891
184,-3239.272,-5730.189,-3345.213,-5259.26,-6030.789,-3411.134,-3851.371,-7312.231
185,-3218.352,-6080.634,-3396.749,-6084.713,-5859.645,-4700.444,-4780.147,-7249.28
186,-3161.129,-1601.632,-3272.317,-2012.744,-1076.802,-3424.836,-3077.278,-7230.078
187,-3192.881,-1632.787,-3213.349,-1311.572,-1818.523,-1790.247,-1974.893,-7315.237
188,-3238.595,-5716.745,-3343.657,-5245.404,-6017.593,-3404.087,-3843.677,-7312.076
189,-3217.948,-6088.976,-3395.776,-6090.42,-5870.939,-4699.559,-4781.039,-7249.15
190,-3160.711,-1621.504,-3271.854,-2032.262,-1095.911,-3432.544,-3085.437,-7229.657
191,-3158.971,398.005,-3188.931,368.47,452.109,-1927.984,-1761.602,-7271.809
192,-3192.385,-1623.384,-3212.432,-1303.664,-1808.093,-1790.103,-1973.327,-7314.97
193,-3238.205,-5704.378,-3342.457,-5232.796,-6005.346,-3397.768,-3837.386,-7312.12
194,-3217.727,-6095.471,-3394.984,-6094.79,-5879.778,-4697.996,-4781.89,-7249.169
195,-3160.221,-1636.332,-3271.249,-2047.32,-1111.011,-3437.654,-3091.588,-7229.162
196,-3158.227,395.961,-3188.093,364.931,451.4,-1932.277,-1764.905,-7271.082
197,-3191.583,-1616.708,-3211.281,-1297.948,-1800.156,-1790.041,-1971.804,-7314.352
198,-3237.569,-5690.061,-3340.984,-5218.906,-5990.966,-3391.821,-3830.149,-7311.966
199,-3217.419,-6099.992,-3394.024,-6096.738,-5886.409,-4696.849,-4781.249,-7249.163
200,-3159.737,-1652.065,-3270.636,-2062.372,-1124.217,-3442.516,-3097.368,-7228.707
201,-3157.712,397.427,-3187.326,364.091,454.848,-1933.779,-1766.484,-7270.717
202,-3190.981,-1600.557,-3210.05,-1282.663,-1783.475,-1785.143,-1966.587,-7314.112
203,-3236.921,-5677.514,-3339.467,-5206.202,-5979.439,-3382.985,-3822.058,-7311.769
204,-3216.901,-6110.876,-3393.083,-6105.271,-5900.094,-4695.98,-4783.119,-7248.794
205,-3159.231,-1669.587,-3270.141,-2079.984,-1142.464,-3449.749,-3104.673,-7228.176
206,-3157.067,397.418,-3186.546,361.622,456.356,-1938.433,-1769.147,-7270.159
207,-3190.416,-1586.377,-3208.984,-1270.509,-1768.114,-1783.183,-1962.406,-7313.834
208,-3236.532,-5660.492,-3338.118,-5190.208,-5962.939,-3374.964,-3812.441,-7311.924
209,-3216.66,-6115.607,-3392.174,-6107.657,-5907.196,-4693.727,-4781.642,-7248.875
210,-3158.811,-1687.025,-3269.607,-2095.494,-1157.259,-3454.863,-3110.603,-7227.79
211,-3156.482,396.655,-3185.798,359.346,458.063,-1941.608,-1771.669,-7269.668
212,-3189.782,-1573.585,-3207.85,-1258.756,-1754.052,-1780.51,-1958.606,-7313.475
213,-3236.079,-5647.415,-3336.815,-5176.619,-5950.441,-3366.842,-3804.858,-7311.914
214,-3216.484,-6125.612,-3391.526,-6115.144,-5920.002,-4692.907,-4783.624,-7248.867
215,-3158.495,-1704.761,-3269.278,-2113.486,-1175.47,-3461.67,-3117.975,-7227.436
216,-3155.961,396.097,-3185.17,356.423,459.058,-1946.282,-1775.008,-7269.18
217,-3189.112,-1560.131,-3206.717,-1246.627,-1739.628,-1778.479,-1954.881,-7313.033
218,-3235.497,-5633.404,-3335.377,-5162.577,-5937.05,-3358.71,-3796.666,-7311.776
219,-3216.138,-6134.602,-3390.704,-6121.74,-5931.316,-4691.904,-4784.981,-7248.707
220,-3158.0,-1719.882,-3268.721,-2127.935,-1189.774,-3467.269,-3124.324,-7226.942
221,-3155.497,396.723,-3184.512,355.374,461.288,-1948.92,-1776.999,-7268.821
222,-3188.638,-1546.841,-3205.733,-1234.604,-1725.323,-1775.306,-1950.887,-7312.841
223,-3234.954,-5620.951,-3334.034,-5149.976,-5925.269,-3350.987,-3789.195,-7311.657
224,-3215.759,-6143.444,-3389.876,-6128.289,-5942.064,-4691.509,-4786.255,-7248.498
225,-3157.693,-1733.682,-3268.333,-2141.641,-1200.769,-3472.72,-3130.049,-7226.634
226,-3154.982,397.75,-3183.741,354.555,464.198,-1950.759,-1778.184,-7268.444
227,-3155.802,-1841.794,-3267.295,-2237.951,-1296.829,-3518.757,-3177.06,-7224.083
228,-3215.436,-6158.28,-3389.328,-6140.552,-5959.094,-4693.777,-4790.605,-7248.184
229,-3154.417,393.784,-3183.219,350.274,461.427,-1957.299,-1783.086,-7267.816
230,-3187.407,-1530.371,-3203.771,-1219.886,-1706.452,-1774.037,-1946.83,-7311.967
231,-3234.05,-5592.494,-3331.516,-5122.131,-5897.145,-3336.979,-3774.195,-7311.597
232,-3232.011,-5556.122,-3327.149,-5083.806,-5865.551,-3308.114,-3747.854,-7310.584
233,-3153.087,398.253,-3181.112,351.056,473.933,-1965.187,-1784.443,-7266.907
234,-3153.951,392.179,-3182.713,346.365,462.279,-1962.113,-1787.034,-7267.316
235,-3186.829,-1519.507,-3202.83,-1210.515,-1694.094,-1773.017,-1944.356,-7311.493
236,-3233.311,-5586.696,-3330.301,-5116.051,-5892.742,-3332.287,-3770.064,-7310.989
237,-3214.454,-6206.522,-3387.632,-6179.239,-6016.079,-4697.602,-4803.727,-7247.26
238,-3156.773,-1788.182,-3267.697,-2190.381,-1250.718,-3498.663,-3155.832,-7225.457
239,-3153.645,401.597,-3181.721,354.813,473.103,-1959.726,-1781.446,-7267.452
240,-3186.266,-1479.687,-3201.047,-1172.557,-1655.095,-1758.243,-1928.31,-7311.58
241,-3152.251,393.075,-3180.408,344.862,471.388,-1970.657,-1788.927,-7265.979
242,-3184.769,-1461.492,-3198.973,-1156.306,-1634.624,-1757.066,-1923.997,-7310.342
